"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"CAPITOL HILL","PORNOGRAPHY",13,0,0,0
"CAPITOL HILL","PROSTITUTION",7,8,7,7
"CAPITOL HILL","RAPE",110,9,8,9
"CAPITOL HILL","ROBBERY-COMMERCIAL",331,5,5,5
"CAPITOL HILL","ROBBERY-RESIDENTIAL",43,8,7,9
"CAPITOL HILL","ROBBERY-STREET",826,7,7,9
"CAPITOL HILL","SEX OFFENSE-OTHER",406,8,6,6
"CAPITOL HILL","THEFT-ALL OTHER",3527,3,2,3
"CAPITOL HILL","THEFT-BICYCLE",891,2,4,2
"CAPITOL HILL","THEFT-BUILDING",1890,5,4,5
"CAPITOL HILL","THEFT-SHOPLIFT",3096,1,2,1
"CAPITOL HILL","TRESPASS",1844,4,2,5
"CAPITOL HILL","WEAPON",394,9,8,9
"CENTRAL AREA/SQUIRE PARK","",9,NA,NA,NA
"CENTRAL AREA/SQUIRE PARK","AGGRAVATED ASSAULT",389,7,7,8
"CENTRAL AREA/SQUIRE PARK","AGGRAVATED ASSAULT-DV",275,5,5,6
"CENTRAL AREA/SQUIRE PARK","ARSON",22,8,8,10
"CENTRAL AREA/SQUIRE PARK","BURGLARY-COMMERCIAL",395,1,1,3
"CENTRAL AREA/SQUIRE PARK","BURGLARY-COMMERCIAL-SECURE PARKING",13,1,1,3
"CENTRAL AREA/SQUIRE PARK","BURGLARY-RESIDENTIAL",1693,8,7,4
"CENTRAL AREA/SQUIRE PARK","BURGLARY-RESIDENTIAL-SECURE PARKING",152,8,7,4
"CENTRAL AREA/SQUIRE PARK","CAR PROWL",2754,5,5,5
"CENTRAL AREA/SQUIRE PARK","DISORDERLY CONDUCT",7,3,4,4
"CENTRAL AREA/SQUIRE PARK","DUI",355,6,7,5
"CENTRAL AREA/SQUIRE PARK","FAMILY OFFENSE-NONVIOLENT",227,3,4,4
"CENTRAL AREA/SQUIRE PARK","GAMBLE",2,3,3,3
"CENTRAL AREA/SQUIRE PARK","HOMICIDE",16,10,10,10
"CENTRAL AREA/SQUIRE PARK","LIQUOR LAW VIOLATION",26,1,2,2
"CENTRAL AREA/SQUIRE PARK","MOTOR VEHICLE THEFT",966,1,2,2
"CENTRAL AREA/SQUIRE PARK","NARCOTIC",473,10,9,8
"CENTRAL AREA/SQUIRE PARK","PORNOGRAPHY",7,0,0,0
"CENTRAL AREA/SQUIRE PARK","PROSTITUTION",18,8,7,7
"CENTRAL AREA/SQUIRE PARK","RAPE",42,9,8,9
"CENTRAL AREA/SQUIRE PARK","ROBBERY-COMMERCIAL",101,5,5,5
"CENTRAL AREA/SQUIRE PARK","ROBBERY-RESIDENTIAL",38,8,7,9
"CENTRAL AREA/SQUIRE PARK","ROBBERY-STREET",477,7,7,9
"CENTRAL AREA/SQUIRE PARK","SEX OFFENSE-OTHER",169,8,6,6
"CENTRAL AREA/SQUIRE PARK","THEFT-ALL OTHER",1514,3,2,3
"CENTRAL AREA/SQUIRE PARK","THEFT-BICYCLE",255,2,4,2
"CENTRAL AREA/SQUIRE PARK","THEFT-BUILDING",595,5,4,5
"CENTRAL AREA/SQUIRE PARK","THEFT-SHOPLIFT",480,1,2,1
"CENTRAL AREA/SQUIRE PARK","TRESPASS",582,4,2,5
"CENTRAL AREA/SQUIRE PARK","WEAPON",165,9,8,9
"CHINATOWN/INTERNATIONAL DISTRICT","",6,NA,NA,NA
"CHINATOWN/INTERNATIONAL DISTRICT","AGGRAVATED ASSAULT",522,7,7,8
"CHINATOWN/INTERNATIONAL DISTRICT","AGGRAVATED ASSAULT-DV",102,5,5,6
"CHINATOWN/INTERNATIONAL DISTRICT","ARSON",14,8,8,10
"CHINATOWN/INTERNATIONAL DISTRICT","BURGLARY-COMMERCIAL",637,1,1,3
"CHINATOWN/INTERNATIONAL DISTRICT","BURGLARY-COMMERCIAL-SECURE PARKING",15,1,1,3
"CHINATOWN/INTERNATIONAL DISTRICT","BURGLARY-RESIDENTIAL",167,8,7,4
"CHINATOWN/INTERNATIONAL DISTRICT","BURGLARY-RESIDENTIAL-SECURE PARKING",56,8,7,4
"CHINATOWN/INTERNATIONAL DISTRICT","CAR PROWL",2507,5,5,5
"CHINATOWN/INTERNATIONAL DISTRICT","DISORDERLY CONDUCT",12,3,4,4
"CHINATOWN/INTERNATIONAL DISTRICT","DUI",229,6,7,5
"CHINATOWN/INTERNATIONAL DISTRICT","FAMILY OFFENSE-NONVIOLENT",65,3,4,4
"CHINATOWN/INTERNATIONAL DISTRICT","GAMBLE",1,3,3,3
